renderer	target	kubernetes	talosctl	machinery	controlplane_sha256	worker_sha256	machinery_output	talosctl_repeat
v1.13.6	v1.11.0	default	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.13.6	v1.11.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.13.6	v1.12.0	default	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.13.6	v1.12.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.13.6	v1.13.0	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.13.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.14.0	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.14.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.15.0	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.15.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	1.13	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	1.13	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.13.6	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.13.6	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.15.0-alpha.0	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.15.0-alpha.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.99.0	default	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	v1.99.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.6	bogus	default	1:M3	1:M4	none	none	none	none
v1.13.6	bogus	1.36.2	1:M3	1:M4	none	none	none	none
